Anger,Sadness,Disgust,Joy,Surprise,Fear
0.000232661,7.16E-05,2.573668,0.000434702,92.17278,2.08E-05
,,,,,
0.000231156,7.15E-05,2.57357,0.000433059,90.53708,2.95E-05
,,,,,
0.000228761,7.13E-05,2.573593,0.000430565,89.92245,3.34E-05
,,,,,
0.000227793,7.15E-05,2.573892,0.00042975,89.40093,3.69E-05
,,,,,
0.000227721,7.18E-05,2.576587,0.000429586,89.55801,3.59E-05
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
0.000225516,7.20E-05,2.574635,0.000427964,90.60373,2.98E-05
,,,,,
,,,,,
,,,,,
0.000223345,7.29E-05,2.568363,0.000427083,91.19594,2.67E-05
,,,,,
,,,,,
,,,,,
0.000224303,7.28E-05,2.562717,0.000427107,90.12413,3.26E-05
,,,,,
0.000221785,7.46E-05,2.56257,0.00042646,90.56422,3.00E-05
,,,,,
0.000221611,7.78E-05,2.582884,0.000427484,92.79587,1.81E-05
,,,,,
0.000220998,7.67E-05,2.616874,0.000428134,95.19164,9.07E-06
,,,,,
0.000222429,7.76E-05,2.640504,0.000428615,95.31122,8.53E-06
,,,,,
0.000221841,7.94E-05,2.653432,0.000430372,95.83329,7.02E-06
,,,,,
0.000224547,7.77E-05,2.66049,0.000431149,95.96996,6.58E-06
,,,,,
0.000224419,7.94E-05,2.652731,0.000433008,95.97913,6.57E-06
,,,,,
0.000219872,8.07E-05,2.638165,0.000431671,96.0412,6.55E-06
,,,,,
0.000225212,7.76E-05,2.624347,0.000432167,96.08681,6.30E-06
,,,,,
0.000225844,7.56E-05,2.617917,0.000431025,96.13216,6.16E-06
,,,,,
,,,,,
,,,,,
,,,,,
0.000226838,7.49E-05,2.595877,0.00043122,96.06848,6.30E-06
,,,,,
0.00022592,7.44E-05,2.580842,0.000430023,95.90025,6.80E-06
,,,,,
0.000224816,7.43E-05,2.568238,0.000429147,95.44582,8.14E-06
,,,,,
0.00022305,7.08E-05,2.554669,0.000426496,94.45242,1.14E-05
,,,,,
0.000215677,4.55E-05,2.500623,0.000417464,91.18049,2.49E-05
,,,,,
0.000196664,3.50E-05,2.376149,0.000397108,85.59929,5.52E-05
,,,,,
0.000144035,2.93E-05,2.012277,0.000334943,75.6787,0.000110242
,,,,,
7.34E-05,4.87E-05,1.399314,0.000231815,62.0072,0.00013888
5.60E-05,7.86E-05,1.201751,0.000199997,56.15243,0.000145635
,,,,,
3.04E-05,0.000222817,0.860235,0.000143299,43.72041,0.000155034
,,,,,
1.40E-05,0.001623825,0.4733216,7.98E-05,24.54761,0.000165369
,,,,,
,,,,,
,,,,,
1.44E-05,0.001943775,0.4343842,7.47E-05,21.87259,0.000170236
,,,,,
1.46E-05,0.001942457,0.4303859,7.46E-05,21.65325,0.000170627
,,,,,
1.56E-05,0.001683784,0.4239656,7.64E-05,20.21169,0.000178467
,,,,,
,,,,,
,,,,,
,,,,,
1.46E-05,0.00160521,0.4269536,7.33E-05,21.10419,0.000171971
,,,,,
1.55E-05,0.001965166,0.4276734,7.52E-05,20.39693,0.000176547
1.52E-05,0.001946398,0.4271413,7.42E-05,20.70044,0.000174014
,,,,,
1.62E-05,0.001952665,0.4268975,7.42E-05,20.67758,0.000174242
,,,,,
1.64E-05,0.001928117,0.4267631,7.19E-05,21.51151,0.000168891
1.58E-05,0.001945871,0.4269438,7.19E-05,21.53215,0.000168441
,,,,,
1.55E-05,0.001940689,0.4277201,7.23E-05,21.49738,0.000167963
,,,,,
,,,,,
,,,,,
,,,,,
1.54E-05,0.002009264,0.4276986,7.26E-05,21.42139,0.000168329
1.48E-05,0.001980794,0.4276178,7.12E-05,21.91739,0.000165095
,,,,,
1.46E-05,0.001955984,0.4282265,7.04E-05,22.33483,0.000163202
,,,,,
1.45E-05,0.001967771,0.4284835,7.01E-05,22.51729,0.000162722
,,,,,
1.37E-05,0.00196536,0.4328531,7.05E-05,23.05831,0.000164554
,,,,,
1.43E-05,0.001856844,0.4421213,7.18E-05,24.50236,0.000216381
,,,,,
1.41E-05,0.001800447,0.4538206,7.37E-05,25.4037,0.00022296
,,,,,
1.52E-05,0.00156676,0.4781769,7.76E-05,28.09796,0.000318331
,,,,,
2.79E-05,0.000670218,0.5474706,8.89E-05,36.76223,0.002022413
,,,,,
3.95E-05,0.000325016,0.7025511,0.000114049,50.12214,0.007255517
,,,,,
7.97E-05,8.46E-05,1.00206,0.000163047,68.6173,0.05525163
,,,,,
0.000101332,3.57E-05,1.393942,0.000227645,79.70054,0.09881336
9.10E-05,3.25E-05,1.54162,0.000251965,81.34412,0.06712522
,,,,,
0.000168158,1.86E-05,2.145143,0.000352945,88.65679,0.04152419
0.000182836,3.52E-05,2.23035,0.000367426,87.09923,0.008808074
