Disgust,Sadness
2.573668,7.16E-05
2.57357,7.15E-05
2.573593,7.13E-05
2.573892,7.15E-05
2.576587,7.18E-05
2.574635,7.20E-05
2.568363,7.29E-05
2.562717,7.28E-05
2.56257,7.46E-05
2.582884,7.78E-05
2.616874,7.67E-05
2.640504,7.76E-05
2.653432,7.94E-05
2.66049,7.77E-05
2.652731,7.94E-05
2.638165,8.07E-05
2.624347,7.76E-05
2.617917,7.56E-05
2.595877,7.49E-05
2.580842,7.44E-05
2.568238,7.43E-05
2.554669,7.08E-05
2.500623,4.55E-05
2.376149,3.50E-05
2.012277,2.93E-05
1.399314,4.87E-05
1.201751,7.86E-05
0.860235,0.000222817
0.4733216,0.001623825
0.4343842,0.001943775
0.4303859,0.001942457
0.4239656,0.001683784
0.4269536,0.00160521
0.4276734,0.001965166
0.4271413,0.001946398
0.4268975,0.001952665
0.4267631,0.001928117
0.4269438,0.001945871
0.4277201,0.001940689
0.4276986,0.002009264
0.4276178,0.001980794
0.4282265,0.001955984
0.4284835,0.001967771
0.4328531,0.00196536
0.4421213,0.001856844
0.4538206,0.001800447
0.4781769,0.00156676
0.5474706,0.000670218
0.7025511,0.000325016
1.00206,8.46E-05
1.393942,3.57E-05
1.54162,3.25E-05
2.145143,1.86E-05
2.23035,3.52E-05
2.265395,5.19E-05
2.423837,6.34E-05
2.496014,7.53E-05
2.534183,0.000345467
2.553404,0.000873031
2.570486,0.002611268
2.572438,0.0053395
2.569372,0.002209767
2.575545,0.001179842
2.578779,0.000340574
2.581486,6.79E-05
2.584013,5.21E-05
2.5881,4.59E-05
2.587832,2.01E-05
2.599587,3.73E-06
2.619204,3.64E-06
2.656128,3.57E-06
2.661456,3.85E-06
2.656484,3.90E-06
2.674385,3.94E-06
2.66085,5.04E-06
2.648656,4.97E-06
2.638902,6.45E-06
2.633545,8.56E-06
2.600535,3.27E-05
2.603523,4.56E-05
2.59598,5.86E-05
2.582151,6.70E-05
2.574742,7.17E-05
2.570302,7.18E-05
